Order Date,Order Time,User,Merchant,Order Status,Merchant Response (min),Order Value ($),Zone,Ritual Estimated Prep Time (min),Response Time (min:sec)
8/30/2015,7:22 PM,Lily Buckland,The Vintage Afternoon,ACCEPTED,15,11.3,E,10,0:14
8/30/2015,7:47 PM,Caroline Mitchell,The Jazz Laguna,REJECTED,NA,8.6,C,15,10:18
8/30/2015,7:13 PM,Lily Buckland,The Southern Balcony,REJECTED,NA,4.19,E,5,0:36
8/30/2015,7:11 PM,Lily Buckland,The Southern Balcony,REJECTED,NA,4.19,E,5,0:23
8/30/2015,7:16 PM,Lily Buckland,The Southern Balcony,REJECTED,NA,4.19,E,5,0:17
8/30/2015,7:17 PM,Lily Buckland,The Southern Balcony,REJECTED,NA,4.19,E,5,0:09
8/31/2015,4:25 PM,Victoria Lewis,Amigos,ACCEPTED,15,79.1,C,10,1:26
8/31/2015,12:29 PM,Gabrielle Hodges,The Lighthouse,ACCEPTED,15,57.62,E,15,1:03
8/31/2015,10:55 AM,James Dickens,Charm,ACCEPTED,20,54.01,C,15,1:26
8/31/2015,10:30 AM,Nicola Sutherland,Amigos,ACCEPTED,15,49.72,C,10,0:22
8/31/2015,11:17 AM,Lily Dowd,The Northern Salmon,ACCEPTED,20,45.73,C,15,0:39
8/31/2015,11:52 AM,Christian Wilson,Harlequin,ACCEPTED,15,44.56,D,20,0:39
8/31/2015,11:57 AM,Wendy Baker,The Vine,ACCEPTED,35,44.07,C,35,1:17
8/31/2015,11:46 AM,Christian Bell,The Delhi Vaults,ACCEPTED,15,41.08,C,15,0:58
8/31/2015,12:04 PM,Jacob Hamilton,Amigos,ACCEPTED,10,40.28,C,10,1:13
8/31/2015,11:25 AM,Fiona Mitchell,The Vine,ACCEPTED,35,35.03,C,25,1:30
8/31/2015,12:14 PM,Kimberly McLean,Amigos,ACCEPTED,5,35,C,5,0:57
8/31/2015,12:48 PM,Neil Skinner,The Northern Salmon,ACCEPTED,15,32.46,C,15,3:52
8/31/2015,11:22 AM,Piers Mills,Harlequin,ACCEPTED,15,29.27,D,10,0:34
8/31/2015,4:02 PM,William Parsons,The River Vaults,ACCEPTED,10,29.19,C,15,0:57
8/31/2015,12:40 PM,Justin Terry,The Locket,ACCEPTED,10,28.82,C,10,0:08
8/31/2015,11:07 AM,Andrea Gill,The Vine,ACCEPTED,35,28.25,C,35,1:05
8/31/2015,11:03 AM,Kimberly Piper,The Shining Sisters,ACCEPTED,10,27.34,D,15,1:41
8/31/2015,10:42 AM,James Ellison,Bandits,ACCEPTED,10,27.29,C,10,0:33
8/31/2015,4:56 PM,Warren Dowd,Amigos,ACCEPTED,10,27.12,C,10,1:39
8/31/2015,7:30 PM,Peter Wilkins,The Tropical Heaven,ACCEPTED,20,27.12,C,20,1:05
8/31/2015,1:50 PM,Eric Burgess,The Village Panda,ACCEPTED,10,27.01,C,10,1:46
8/31/2015,10:37 AM,Emma Butler,Charm,ACCEPTED,20,27.01,C,20,0:50
8/31/2015,11:07 AM,Joshua Arnold,Amigos,ACCEPTED,15,26.48,C,15,0:41
8/31/2015,7:25 PM,Jacob Coleman,The Tropical Heaven,ACCEPTED,20,26.1,C,20,1:24
8/31/2015,10:56 AM,Kylie Fisher,Maze,ACCEPTED,10,26.07,C,15,0:10
8/31/2015,4:21 PM,Alexander Ogden,The Tropical Heaven,ACCEPTED,20,25.99,C,20,0:34
8/31/2015,1:00 PM,Faith Nolan,Lily,ACCEPTED,10,25.98,C,15,0:39
8/31/2015,12:52 PM,William Hill,Charm,ACCEPTED,20,24.75,C,15,1:36
8/31/2015,11:16 AM,Felicity Ferguson,The Golden Front,ACCEPTED,10,23.41,C,10,0:33
8/31/2015,11:34 AM,Penelope Buckland,Gentle,ACCEPTED,5,22.94,D,10,0:48
8/31/2015,3:00 PM,Karen Ferguson,Amigos,ACCEPTED,5,22.6,C,10,1:38
8/31/2015,5:51 PM,Claire Davidson,Amigos,ACCEPTED,10,22.6,C,10,1:29
8/31/2015,6:08 PM,Virginia Berry,The Juniper Eats,ACCEPTED,10,22.6,C,15,0:07
8/31/2015,11:01 AM,Warren Parsons,Karma,ACCEPTED,5,22.49,C,5,0:51
8/31/2015,7:36 PM,Charles Parr,The Jazz Laguna,ACCEPTED,20,22.33,C,15,6:09
8/31/2015,7:09 PM,Anne Abraham,The Tropical Heaven,ACCEPTED,20,21.76,C,20,0:40
8/31/2015,11:34 AM,Michael Manning,The Juniper Eats,ACCEPTED,15,21.47,C,30,0:46
8/31/2015,1:19 PM,Jacob Hamilton,Amigos,ACCEPTED,10,20.79,C,10,0:12
8/31/2015,11:47 AM,Jane Marshall,Enigma,ACCEPTED,10,20.68,E,15,1:04
8/31/2015,10:38 AM,Sean Underwood,Amigos,ACCEPTED,15,20.34,C,15,0:17
8/31/2015,3:48 PM,Kylie McLean,Enigma,ACCEPTED,10,19.66,E,15,1:29
8/31/2015,5:16 PM,Andrew Lambert,The Cool Cat Cow,ACCEPTED,10,19.48,C,10,1:56
8/31/2015,11:15 AM,Jessica Ball,Simmer Down,ACCEPTED,5,19.39,A,5,0:08
8/31/2015,1:34 PM,Jane Hunter,Charm,REJECTED,NA,19.1,C,15,3:05
8/31/2015,10:33 AM,Eric Peake,The Vine,ACCEPTED,30,18.65,C,25,0:46
8/31/2015,10:20 AM,Carol Hunter,The Boar,ACCEPTED,10,18.63,C,10,0:10
8/31/2015,9:54 AM,Adam Quinn,The Northern Salmon,ACCEPTED,10,18.62,C,15,0:32
8/31/2015,4:52 PM,Colin Marshall,Amigos,ACCEPTED,20,18.45,C,15,0:31
8/31/2015,8:14 AM,Eric Metcalfe,The Warm Club,ACCEPTED,0,18.37,C,2,0:11
8/31/2015,12:06 PM,Julia Robertson,The Shining Gate,ACCEPTED,10,18.36,C,10,0:15
8/31/2015,10:58 AM,Thomas Greene,The Boar,ACCEPTED,10,18.34,C,10,0:05
8/31/2015,11:51 AM,Jonathan Lambert,Maze,ACCEPTED,10,18.16,C,15,0:08
8/31/2015,12:28 PM,Joanne McDonald,Amigos,ACCEPTED,5,18.08,C,10,1:43
8/31/2015,11:41 AM,Yvonne Davidson,Potroast,ACCEPTED,10,18.08,C,10,0:12
8/31/2015,11:11 AM,Sebastian Oliver,Potroast,ACCEPTED,15,18.08,C,10,0:09
8/31/2015,10:51 AM,Michael Davidson,Harvest,ACCEPTED,15,18.03,C,10,0:57
8/31/2015,2:06 PM,Liam Nash,The Delhi Vaults,ACCEPTED,10,18.02,C,10,0:37
8/31/2015,11:06 AM,Jonathan Hamilton,Roadhouse,ACCEPTED,5,17.97,C,5,0:13
8/31/2015,1:11 PM,Adrian Campbell,The Empress,ACCEPTED,5,17.74,C,10,2:23
8/31/2015,11:00 AM,Maria Gill,Gentle,ACCEPTED,10,17.63,D,10,0:18
8/31/2015,1:11 PM,Gordon MacLeod,Gentle,ACCEPTED,10,17.63,D,10,0:12
8/31/2015,1:10 PM,Samantha Young,Gentle,ACCEPTED,10,17.63,D,10,0:08
8/31/2015,12:19 PM,Karen Ferguson,The Empress,ACCEPTED,5,17.59,C,10,1:54
8/31/2015,11:11 AM,Benjamin Blake,The Tropical Heaven,ACCEPTED,20,17.52,C,30,2:24
8/31/2015,12:23 PM,Virginia Rees,The Vine,ACCEPTED,30,17.52,C,20,1:54
8/31/2015,10:31 AM,Evan Sanderson,The Vine,ACCEPTED,25,17.52,C,20,0:13
8/31/2015,11:09 AM,Wanda Coleman,The Rose,ACCEPTED,15,17.46,D,20,1:32
8/31/2015,11:28 AM,Kimberly Piper,The Empress,ACCEPTED,10,17.4,C,10,1:14
8/31/2015,12:43 PM,Nicola Murray,The Boar,ACCEPTED,10,17.38,C,10,0:08
8/31/2015,12:04 PM,Phil Bailey,The Tropical Heaven,ACCEPTED,25,17.23,C,30,2:29
8/31/2015,11:45 AM,Julia Robertson,The Shining Gate,ACCEPTED,10,17.22,C,10,0:05
8/31/2015,11:08 AM,Joseph Cameron,The Tropical Heaven,ACCEPTED,20,16.95,C,30,1:20
8/31/2015,8:59 AM,Joshua Payne,The Aroma Cuisine,ACCEPTED,5,16.95,E,10,1:12
8/31/2015,4:34 PM,Victor King,The Northern Salmon,ACCEPTED,10,16.94,C,15,1:18
8/31/2015,10:06 AM,David Black,Simmer Down,ACCEPTED,10,16.89,E,15,0:29
8/31/2015,12:24 PM,Cameron Gill,Harlequin,ACCEPTED,10,16.89,D,10,0:23
8/31/2015,6:47 PM,Alison Short,The Vintage Blossom,ACCEPTED,10,16.89,C,15,0:19
8/31/2015,10:43 AM,Molly Mackenzie,The Delhi Vaults,ACCEPTED,15,16.89,C,10,0:12
8/31/2015,10:43 AM,Gordon Mitchell,The River Demon,ACCEPTED,10,16.84,C,15,1:17
